"country","obesityRate","bmi","pop2020"
"american samoa","0.7460","34.9000","55.1910"
"tokelau","0.7440","","1.3570"
"nauru","0.6100","32.5000","10.8240"
"cook islands","0.5590","33","17.5640"
"palau","0.5530","29.4000","18.0940"
"marshall islands","0.5290","29.2000","59.1900"
"tuvalu","0.5160","29.3000","11.7920"
"niue","0.5000","","1.6260"
"tonga","0.4820","31.9000","105.6950"
"samoa","0.4730","31.7000","198.4140"
"kiribati","0.4600","29.6000","119.4490"
"micronesia","0.4580","29.4000","115.0230"
"aruba","0.3820","","106.7660"
"kuwait","0.3790","30","4270.5710"
"cayman islands","0.3660","","65.7220"
"united states","0.3620","28.8000","331002.6510"
"british virgin islands","0.3550","","30.2310"
"jordan","0.3550","28.9000","10203.1340"
"saudi arabia","0.3540","28.5000","34813.8710"
"qatar","0.3510","29.2000","2881.0530"
"bermuda","0.3440","","62.2780"
"guam","0.3430","","168.7750"
"french polynesia","0.3310","","280.9080"
"curacao","0.3300","","164.0930"
"puerto rico","0.3290","","2860.8530"
"united states virgin islands","0.3250","","104.4250"
"libya","0.3250","27.7000","6871.2920"
"turkey","0.3210","27.8000","84339.0670"
"lebanon","0.3200","27.8000","6825.4450"
"egypt","0.3200","29.2000","102334.4040"
"united arab emirates","0.3170","28.8000","9890.4020"
"bahamas","0.3160","28.4000","393.2440"
"new caledonia","0.3150","","285.4980"
"new zealand","0.3080","27.9000","4822.2330"
"iraq","0.3040","28","40222.4930"
"fiji","0.3020","27.2000","896.4450"
"macau","0.3000","","649.3350"
"hong kong","0.2990","","7496.9810"
"bahrain","0.2980","28.2000","1701.5750"
"canada","0.2940","27.2000","37742.1540"
"northern mariana islands","0.2920","","57.5590"
"australia","0.2900","27.2000","25499.8840"
"malta","0.2890","27.2000","441.5430"
"mexico","0.2890","28.1000","128932.7530"
"argentina","0.2830","27.7000","45195.7740"
"south africa","0.2830","27.3000","59308.6900"
"chile","0.2800","27.8000","19116.2010"
"dominica","0.2790","27","71.9860"
"uruguay","0.2790","26.8000","3473.7300"
"syria","0.2780","28.1000","17500.6580"
"united kingdom","0.2780","27.3000","67886.0110"
"dominican republic","0.2760","26.7000","10847.9100"
"algeria","0.2740","26.2000","43851.0440"
"oman","0.2700","26.9000","5106.6260"
"tunisia","0.2690","26.8000","11818.6190"
"palestine","0.2680","27.6000","5101.4140"
"suriname","0.2640","27.4000","586.6320"
"hungary","0.2640","26.3000","9660.3510"
"lithuania","0.2630","26.6000","2722.2890"
"israel","0.2610","26.3000","8655.5350"
"morocco","0.2610","25.6000","36910.5600"
"czech republic","0.2600","26.9000","10708.9810"
"iran","0.2580","26.2000","83992.9490"
"costa rica","0.2570","26.9000","5094.1180"
"andorra","0.2560","27.5000","77.2650"
"venezuela","0.2560","27.2000","28435.9400"
"ireland","0.2530","27.5000","4937.7860"
